videoFile,cameraFile,caption,location,scene,crowdDensity,weather,timeOfDay
00700100003_0017250_0019050.mp4,00700100003_0017250_0019050.npz,"The video begins with a first-person perspective moving along a narrow, stone-paved path through a dense forest at night under cloudy, foggy conditions. The camera smoothly advances forward, capturing the dimly lit surroundings illuminated by an unseen light source that casts soft shadows among the trees. As the viewer progresses, the path winds gently, bordered by low stone walls and lush vegetation, with occasional patches of grass and scattered leaves. The camera angle remains steady, focusing straight ahead but occasionally panning slightly to the left or right to reveal more of the dense foliage and the intricate textures of the tree trunks and underbrush. The muted colors of the night scene are dominated by dark greens and browns, with the occasional glint of light reflecting off wet surfaces, suggesting recent rain. The atmosphere is serene and isolated, with no other characters or movement apart from the steady advance of the camera. The path continues deeper into the forest, leading towards a faintly visible structure in the distance, partially obscured by the thick canopy above. The entire sequence maintains a consistent pace and direction, emphasizing the quiet solitude of the nocturnal journey through Shengshan Island's natural landscape.","Shengshan Island, Zhoushan, China",outdoor-natural,empty,cloudy/foggy,night
00400300001_0006856_0008656.mp4,00400300001_0006856_0008656.npz,"The first-person perspective begins with a steady forward movement across a snowy landscape in Mýrdalssandur, Southern Region, Iceland. The viewer's gaze is directed along a path blanketed in snow, bordered by rugged, dark rocks that protrude through the white cover. As the movement progresses, the camera pans slightly to the left, revealing more of the expansive terrain, which is dotted with scattered boulders and patches of exposed earth. The sky above is overcast, casting a diffused light that softens the shadows and gives the scene a muted palette of whites, grays, and browns. The camera continues its advance, maintaining a consistent eye-level angle that immerses the viewer in the environment. The surrounding area remains empty, emphasizing the solitude of the setting. The snowflakes gently falling from the sky add a dynamic element to the otherwise still scene. As the journey continues, the camera subtly shifts focus, highlighting the texture of the snow-covered ground and the intricate details of the rocky outcrops. The overall atmosphere is serene and untouched, capturing the raw beauty of this remote Icelandic location during a snowy day.","Mýrdalssandur, Southern Region, Iceland",outdoor-natural,empty,snowy,day
00600200003_0019050_0020850.mp4,00600200003_0019050_0020850.npz,"The first-person perspective begins with a steady forward movement along a snowy trail in the Mardi Himal region of Kaski, Nepal. The camera advances through a rugged terrain covered in patches of snow and exposed rocks, capturing the intricate textures of the ground. As the viewer progresses, the path narrows and leads into a dense fog that obscures distant views, creating a hazy atmosphere. The camera pans slightly to reveal a small wooden fence on the left side, guiding the path through the misty landscape. Sparse trees emerge intermittently from the fog, their branches heavy with snow, adding depth to the scene. The camera continues its ascent, following a metal railing that curves gently upwards, indicating a steep incline. The surrounding environment remains shrouded in a thick blanket of fog, with visibility limited to the immediate surroundings. The muted daylight filters through the haze, casting a soft, diffused light over the scene. The camera maintains a consistent forward motion, occasionally adjusting its angle to navigate the winding path, emphasizing the isolation and serene beauty of this remote, snowy trail. The entire journey unfolds in a tranquil, empty setting, devoid of any human presence, enhancing the sense of solitude amidst nature's vastness.","Mardi Himal Trail, Kaski, Nepal",outdoor-natural,empty,snowy,day
00200100002_0026169_0027969.mp4,00200100002_0026169_0027969.npz,"The video begins with a first-person perspective of someone walking along a narrow, rocky path through a lush, green landscape. The camera moves steadily forward, capturing the dense foliage and tall pine trees that line the trail. As the person progresses, the camera pans slightly to the right, revealing more of the surrounding vegetation and the expansive sky above, dotted with fluffy white clouds. The path continues to wind through the forest, with occasional patches of wildflowers and shrubs adding bursts of color to the predominantly green scenery. The camera angle shifts subtly, offering glimpses of distant mountains partially obscured by mist, their peaks capped with snow. The lighting remains consistent throughout, with the soft, diffused light of a cloudy day casting gentle shadows across the terrain. The scene remains serene and untouched, with no other individuals or man-made structures in sight, emphasizing the natural beauty and tranquility of Le Prarion, Chamonix-Mont-Blanc, France. The camera continues its steady advance, maintaining a close focus on the path ahead while occasionally panning to capture the breathtaking vistas of the alpine landscape.","Le Prarion, Chamonix-Mont-Blanc, France",outdoor-natural,empty,cloudy/foggy,day
00300100002_0033775_0035575.mp4,00300100002_0033775_0035575.npz,"The video begins with a first-person perspective moving forward through a narrow, fog-laden street in Fushimi Inari Taisha, Kyoto, Japan, at night under cloudy conditions. The camera steadily advances, capturing the dimly lit wooden buildings on either side, their traditional architecture accentuated by soft lanterns casting a warm glow against the cool mist. As the viewer progresses, the camera pans slightly to the right, revealing more of the empty street lined with similar structures, each adorned with hanging red lanterns that punctuate the darkness. The atmosphere is serene yet eerie, with the fog thickening as the path curves gently upwards. The camera continues its ascent, the angle shifting subtly to emphasize the steep incline and the dense fog that obscures distant details. The muted colors of the night blend seamlessly with the fog, creating a monochromatic palette dominated by shades of gray and green. The scene remains devoid of people, enhancing the sense of solitude as the camera moves deeper into the quiet, misty landscape, eventually reaching a small open area where the fog seems to thin slightly, offering a brief glimpse of the surrounding trees before the view is once again enveloped in the dense mist.","Fushimi Inari Taisha, Kyoto, Japan",outdoor-urban,empty,cloudy/foggy,night
00900200001_0011850_0013650.mp4,00900200001_0011850_0013650.npz,"The video begins with the viewer ascending a set of moss-covered stone steps winding through a dense forest in Yamadera, Yamagata Prefecture, Japan. The camera moves steadily forward, capturing the misty atmosphere as fog gently envelops the surrounding trees, creating a serene yet mysterious ambiance. As the ascent continues, the path narrows, flanked by leafless trees that stretch upwards into the cloudy sky, their bare branches adding to the somber mood. The camera angle shifts slightly to reveal a traditional wooden bridge crossing over a small ravine, its railings leading the eye towards a distant temple structure perched atop a rocky outcrop. The viewer approaches the bridge, crossing it with a smooth motion that emphasizes the rustic charm of the wooden planks beneath. The temple comes into clearer view, its multi-tiered roof and intricate architectural details standing out against the muted tones of the foggy landscape. The camera pans around the temple, showcasing its elevated position and the natural beauty of the surrounding terrain. The lighting remains soft and diffused, casting gentle shadows that enhance the textures of the rocks and foliage. The entire scene is devoid of people, emphasizing the tranquil solitude of this outdoor setting. The camera's final movement brings the viewer closer to the temple entrance, inviting a sense of exploration and discovery within this peaceful, secluded environment.","Yamadera, Yamagata Prefecture, Japan",outdoor-natural,empty,cloudy/foggy,day
00200300001_0044705_0046505.mp4,00200300001_0044705_0046505.npz,"The video begins with a first-person perspective of someone walking along a dimly lit path at night in Le Prarion, Chamonix-Mont-Blanc, France. The camera moves steadily forward, capturing the faint outlines of trees and shrubs on either side of the narrow trail. As the person progresses, the camera angle remains fixed, providing a consistent view of the path ahead. The sky above is dotted with stars, faintly visible through the cloudy and foggy conditions, casting a soft, ambient light over the scene. The surrounding environment is shrouded in darkness, with only the subtle glow from distant sources illuminating parts of the path and vegetation. The camera occasionally shifts slightly to the left and right, revealing more of the dense foliage and the uneven terrain underfoot. Despite the low visibility, the steady pace of the walker suggests a familiar route, with no sudden movements or changes in direction. The overall atmosphere is quiet and serene, with the natural sounds of the night blending into the peaceful solitude of the outdoor setting.","Le Prarion, Chamonix-Mont-Blanc, France",outdoor-natural,empty,cloudy/foggy,night
00400100003_0024450_0026250.mp4,00400100003_0024450_0026250.npz,"The video begins with a first-person perspective moving slowly across a rugged, rocky terrain under a vast, cloudy sky during sunset. The camera pans gently from left to right, revealing large boulders scattered across the barren landscape, their dark silhouettes contrasting sharply against the warm hues of the setting sun. As the viewer progresses, the camera angle shifts slightly upward, capturing the expansive view of distant mountains shrouded in a soft mist, their outlines softened by the atmospheric conditions. The lighting transitions from a golden glow near the horizon to deeper shades of orange and brown higher in the sky, casting long shadows over the uneven ground. The camera continues its steady movement, occasionally tilting downward to focus on smaller rocks and patches of sparse vegetation clinging to the earth. The scene remains devoid of any human presence, emphasizing the solitude and untouched nature of Mýrdalssandur in the Southern Region of Iceland. The overall ambiance is serene yet somber, with the muted colors and stillness of the environment creating a sense of quiet isolation.","Mýrdalssandur, Southern Region, Iceland",outdoor-natural,empty,cloudy/foggy,sunset
00800100003_0036156_0037956.mp4,00800100003_0036156_0037956.npz,"The video begins with a smooth forward movement along a gently curving road in East Maddon Park, London, United Kingdom, under a bright sunny sky. The camera maintains a steady first-person perspective, capturing the road's white lane markings and the lush greenery flanking both sides. As the journey progresses, the road curves slightly to the right, leading towards an arched stone bridge covered in ivy. The camera glides seamlessly under the bridge, revealing more of the park's serene landscape. The surrounding trees cast dappled shadows on the asphalt, enhancing the play of light and shadow across the scene. The camera continues straight ahead, passing by a series of evenly spaced street lamps and dense foliage that lines the road. The environment remains tranquil and empty, with no visible pedestrians or vehicles, emphasizing the peaceful solitude of the park. The sky above is a brilliant blue, dotted with fluffy white clouds, casting a warm, golden hue over the entire scene. The camera angle remains consistent, providing a continuous and immersive view of the road as it stretches into the distance, inviting the viewer deeper into the natural beauty of East Maddon Park.","East Maddon Park, London, United Kingdom",outdoor-natural,empty,sunny,day
00800200003_0044258_0046058.mp4,00800200003_0044258_0046058.npz,"The video begins with a steady forward movement along a wide, empty road in East Maddon Park, London, United Kingdom, under a bright sunny sky. The camera maintains a first-person perspective, smoothly gliding over the asphalt surface marked by white dashed lines that guide the path ahead. On both sides of the road, tall black metal fences line the edges, separating the pavement from lush green trees that cast dappled shadows across the ground. As the camera progresses, the road gently curves to the right, revealing more of the serene park environment. The sunlight filters through the leaves, creating a warm, golden hue that bathes the entire scene. The camera angle remains consistent, offering a clear view of the road's horizon where a few scattered streetlights stand tall. The absence of people or vehicles emphasizes the tranquility of the setting, with only the subtle sounds of nature accompanying the smooth motion. The overall atmosphere is calm and inviting, capturing the essence of a peaceful day in an urban park.","East Maddon Park, London, United Kingdom",outdoor-urban,empty,sunny,day
